# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 860
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.29789 eV
41      0.000361       0.000000       0.000000       0.000000       0.000361       
87      0.000225       0.000000       0.000000       0.000000       0.000225       
101     0.000256       0.000000       0.000000       0.000000       0.000256       
105     0.000676       0.000000       0.000000       0.000000       0.000676       
138     0.000225       0.000000       0.000004       0.000000       0.000229       
165     0.000576       0.000016       0.000000       0.000000       0.000592       
tot     0.004527       0.000351       0.000240       0.000311       0.994000

Band 36   energy = -3.40156 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000400       0.000000       0.000001       0.000000       0.000401       
82      0.000784       0.000000       0.000000       0.000000       0.000784       
98      0.000256       0.000000       0.000000       0.000000       0.000256       
101     0.000169       0.000000       0.000000       0.000000       0.000169       
164     0.000169       0.000000       0.000004       0.000000       0.000173       
201     0.000676       0.000000       0.000000       0.000016       0.000692       
tot     0.004557       0.000173       0.000176       0.000603       0.994000

Band 37   energy = -3.36409 eV
atom    s              p_x            p_y            p_z            tot            
33      0.000144       0.000001       0.000000       0.000001       0.000146       
41      0.000676       0.000000       0.000000       0.000001       0.000677       
52      0.000169       0.000000       0.000000       0.000000       0.000169       
123     0.000441       0.000000       0.000000       0.000000       0.000441       
173     0.000625       0.000000       0.000000       0.000004       0.000629       
187     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.004346       0.000380       0.000264       0.000243       0.994000

Band 38   energy = -3.36408 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000361       0.000001       0.000000       0.000000       0.000362       
68      0.000400       0.000004       0.000000       0.000000       0.000404       
112     0.000225       0.000000       0.000000       0.000000       0.000225       
121     0.000256       0.000000       0.000000       0.000000       0.000256       
144     0.000400       0.000000       0.000000       0.000004       0.000404       
197     0.000324       0.000000       0.000000       0.000000       0.000324       
tot     0.004420       0.000303       0.000549       0.000085       0.994000

Band 39   energy = -3.31932 eV
atom    s              p_x            p_y            p_z            tot            
33      0.000289       0.000000       0.000000       0.000000       0.000289       
92      0.000169       0.000000       0.000001       0.000016       0.000186       
127     0.000289       0.000000       0.000000       0.000000       0.000289       
