# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 860
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.24938 eV
45      0.000324       0.000000       0.000001       0.000000       0.000325       
60      0.000324       0.000001       0.000001       0.000000       0.000326       
72      0.000324       0.000000       0.000000       0.000004       0.000328       
tot     0.005802       0.000440       0.000459       0.000310       0.994000

Band 42   energy = -3.29942 eV
atom    s              p_x            p_y            p_z            tot            
5       0.001089       0.000000       0.000000       0.000004       0.001093       
44      0.000256       0.000000       0.000000       0.000000       0.000256       
86      0.000441       0.000000       0.000000       0.000016       0.000457       
107     0.000256       0.000004       0.000004       0.000000       0.000264       
188     0.000576       0.000001       0.000000       0.000009       0.000586       
192     0.000529       0.000000       0.000000       0.000000       0.000529       
tot     0.005463       0.000326       0.000315       0.000437       0.994000

Band 43   energy = -3.29941 eV
atom    s              p_x            p_y            p_z            tot            
44      0.000361       0.000000       0.000000       0.000000       0.000361       
69      0.000961       0.000000       0.000000       0.000004       0.000965       
88      0.000225       0.000000       0.000004       0.000001       0.000230       
95      0.000400       0.000000       0.000009       0.000001       0.000410       
139     0.000484       0.000000       0.000004       0.000000       0.000488       
145     0.000529       0.000004       0.000000       0.000009       0.000542       
tot     0.005354       0.000346       0.000306       0.000309       0.994000

Band 44   energy = -3.29397 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000676       0.000000       0.000000       0.000000       0.000676       
74      0.000256       0.000000       0.000000       0.000000       0.000256       
94      0.000256       0.000001       0.000000       0.000000       0.000257       
103     0.000676       0.000000       0.000000       0.000000       0.000676       
114     0.000256       0.000000       0.000000       0.000000       0.000256       
133     0.000729       0.000000       0.000000       0.000000       0.000729       
tot     0.005059       0.000427       0.000154       0.000450       0.994000

Band 45   energy = -3.29396 eV
atom    s              p_x            p_y            p_z            tot            
49      0.000784       0.000000       0.000000       0.000001       0.000785       
74      0.000169       0.000000       0.000000       0.000000       0.000169       
92      0.000729       0.000000       0.000000       0.000001       0.000730       
94      0.000169       0.000000       0.000000       0.000000       0.000169       
110     0.000784       0.000000       0.000000       0.000000       0.000784       
162     0.000144       0.000036       0.000000       0.000009       0.000189       
tot     0.005020       0.000222       0.000424       0.000254       0.994000

Band 46   energy = -3.29045 eV
atom    s              p_x            p_y            p_z            tot            
99      0.002209       0.000000       0.000000       0.000000       0.002209       
116     0.000529       0.000000       0.000000       0.000001       0.000530       
125     0.000196       0.000004       0.000000       0.000016       0.000216       
139     0.000036       0.000000       0.000081       0.000000       0.000117       
143     0.000064       0.000000       0.000121       0.000000       0.000185       
170     0.000064       0.000100       0.000000       0.000001       0.000165       
tot     0.004999       0.000404       0.000514       0.000197       0.994000

Band 47   energy = -3.28503 eV
atom    s              p_x            p_y            p_z            tot            
83      0.000441       0.000000       0.000000       0.000000       0.000441       
85      0.000441       0.000000       0.000000       0.000000       0.000441       
93      0.000441       0.000000       0.000000       0.000000       0.000441       
96      0.000441       0.000000       0.000000       0.000000       0.000441       
104     0.000441       0.000000       0.000000       0.000000       0.000441       
106     0.000441       0.000000       0.000000       0.000000       0.000441       
tot     0.005404       0.000281       0.000192       0.000593       0.994000

Band 48   energy = -3.28446 eV
atom    s              p_x            p_y            p_z            tot            
61      0.000256       0.000001       0.000000       0.000004       0.000261       
67      0.000361       0.000000       0.000000       0.000001       0.000362       
89      0.000289       0.000000       0.000004       0.000000       0.000293       
137     0.000484       0.000000       0.000000       0.000000       0.000484       
143     0.000324       0.000000       0.000004       0.000000       0.000328       
210     0.000324       0.000000       0.000000       0.000000       0.000324       
tot     0.004465       0.000380       0.000418       0.000196       0.994000

Band 49   energy = -3.28443 eV
atom    s              p_x            p_y            p_z            tot            
30      0.000400       0.000000       0.000000       0.000009       0.000409       
38      0.000529       0.000000       0.000000       0.000004       0.000533       
53      0.000144       0.000000       0.000000       0.000000       0.000144       
87      0.000441       0.000004       0.000000       0.000000       0.000445       
